bit_length=10 prime=547 G=(386, 359) n=547 Q=(286, 462)
Creating Quantum Circuit
(1/10)
(2/10)
(3/10)
(4/10)
(5/10)
(6/10)
(7/10)
(8/10)
(9/10)
(10/10)
Complete Quantum Circuit 561.683[s]
execute circuit 1740000/7000037 2:37:45.551
execute circuit 1750000/7000037 2:39:17.460
execute circuit 1760000/7000037 2:40:38.010
execute circuit 1770000/7000037 2:42:03.148
execute circuit 1780000/7000037 2:43:31.324
execute circuit 1790000/7000037 2:45:05.271
execute circuit 1800000/7000037 2:46:02.680
execute circuit 1810000/7000037 2:46:58.266
execute circuit 1820000/7000037 2:47:51.979
execute circuit 1830000/7000037 2:48:24.122
execute circuit 1840000/7000037 2:49:09.525
execute circuit 1850000/7000037 2:49:51.902
execute circuit 1860000/7000037 2:50:26.716
execute circuit 1870000/7000037 2:51:08.375
execute circuit 1880000/7000037 2:51:49.860
execute circuit 1890000/7000037 2:52:27.602
execute circuit 1900000/7000037 2:53:01.914
execute circuit 1910000/7000037 2:53:42.559
execute circuit 1920000/7000037 2:54:36.802
execute circuit 1930000/7000037 2:55:24.553
execute circuit 1940000/7000037 2:56:15.954
execute circuit 1950000/7000037 2:57:04.248
execute circuit 1960000/7000037 2:57:54.040
execute circuit 1970000/7000037 2:58:35.346
execute circuit 1980000/7000037 2:59:23.664
execute circuit 1990000/7000037 2:59:59.070
execute circuit 2000000/7000037 3:00:34.197
execute circuit 2010000/7000037 3:01:15.482
execute circuit 2020000/7000037 3:01:59.041
execute circuit 2030000/7000037 3:02:43.714
execute circuit 2040000/7000037 3:03:26.196
execute circuit 2050000/7000037 3:04:18.665
execute circuit 2060000/7000037 3:05:21.388
execute circuit 2070000/7000037 3:05:59.190
execute circuit 2080000/7000037 3:06:58.769
execute circuit 2090000/7000037 3:07:52.711
execute circuit 2100000/7000037 3:08:50.824
execute circuit 2110000/7000037 3:09:53.694
execute circuit 2120000/7000037 3:10:51.861
execute circuit 2130000/7000037 3:12:26.082
execute circuit 2140000/7000037 3:14:06.411
execute circuit 2150000/7000037 3:15:45.832
execute circuit 2160000/7000037 3:17:38.027
execute circuit 2170000/7000037 3:19:20.559
execute circuit 2180000/7000037 3:21:37.254
execute circuit 2190000/7000037 3:23:23.040
execute circuit 2200000/7000037 3:24:58.033
execute circuit 2210000/7000037 3:26:36.679
execute circuit 2220000/7000037 3:27:45.284
execute circuit 2230000/7000037 3:29:16.118
execute circuit 2240000/7000037 3:30:43.475
execute circuit 2250000/7000037 3:31:47.005
execute circuit 2260000/7000037 3:33:07.287
execute circuit 2270000/7000037 3:34:35.761
execute circuit 2280000/7000037 3:35:55.804
execute circuit 2290000/7000037 3:36:58.110
execute circuit 2300000/7000037 3:38:03.825
execute circuit 2310000/7000037 3:39:29.896
execute circuit 2320000/7000037 3:40:37.520
execute circuit 2330000/7000037 3:41:17.573
execute circuit 2340000/7000037 3:41:58.402
execute circuit 2350000/7000037 3:42:43.369
execute circuit 2360000/7000037 3:43:24.331
execute circuit 2370000/7000037 3:44:13.945
execute circuit 2380000/7000037 3:44:48.708
execute circuit 2390000/7000037 3:45:21.430
execute circuit 2400000/7000037 3:46:03.541
execute circuit 2410000/7000037 3:46:43.112
execute circuit 2420000/7000037 3:47:21.592
execute circuit 2430000/7000037 3:47:57.304
execute circuit 2440000/7000037 3:48:39.055
execute circuit 2450000/7000037 3:49:23.462
execute circuit 2460000/7000037 3:49:57.013
execute circuit 2470000/7000037 3:50:47.813
execute circuit 2480000/7000037 3:51:35.822
execute circuit 2490000/7000037 3:52:34.507
execute circuit 2500000/7000037 3:53:34.296
execute circuit 2510000/7000037 3:54:26.890
execute circuit 2520000/7000037 3:55:21.592
execute circuit 2530000/7000037 3:56:14.895
execute circuit 2540000/7000037 3:57:06.052
execute circuit 2550000/7000037 3:57:58.012
execute circuit 2560000/7000037 3:58:51.991
execute circuit 2570000/7000037 3:59:55.194
execute circuit 2580000/7000037 4:00:39.454
execute circuit 2590000/7000037 4:01:31.652
execute circuit 2600000/7000037 4:02:13.117
execute circuit 2610000/7000037 4:02:48.095
execute circuit 2620000/7000037 4:03:29.938
execute circuit 2630000/7000037 4:04:09.875
execute circuit 2640000/7000037 4:04:40.781
execute circuit 2650000/7000037 4:05:20.819
execute circuit 2660000/7000037 4:06:02.628
execute circuit 2670000/7000037 4:06:39.726
execute circuit 2680000/7000037 4:07:16.951
execute circuit 2690000/7000037 4:07:57.800
execute circuit 2700000/7000037 4:08:42.054
execute circuit 2710000/7000037 4:09:28.676
execute circuit 2720000/7000037 4:10:13.379
execute circuit 2730000/7000037 4:10:57.384
execute circuit 2740000/7000037 4:11:43.720
execute circuit 2750000/7000037 4:12:24.178
execute circuit 2760000/7000037 4:13:12.678
execute circuit 2770000/7000037 4:13:52.561
execute circuit 2780000/7000037 4:14:24.194
execute circuit 2790000/7000037 4:15:09.343
execute circuit 2800000/7000037 4:15:48.982
execute circuit 2810000/7000037 4:16:28.662
execute circuit 2820000/7000037 4:17:07.287
execute circuit 2830000/7000037 4:17:50.037
execute circuit 2840000/7000037 4:18:35.284
execute circuit 2850000/7000037 4:19:10.978
execute circuit 2860000/7000037 4:20:03.463
execute circuit 2870000/7000037 4:20:48.866
execute circuit 2880000/7000037 4:21:51.990
execute circuit 2890000/7000037 4:22:50.070
execute circuit 2900000/7000037 4:23:40.712
execute circuit 2910000/7000037 4:24:29.718
execute circuit 2920000/7000037 4:25:21.644
execute circuit 2930000/7000037 4:26:13.848
execute circuit 2940000/7000037 4:27:07.736
execute circuit 2950000/7000037 4:28:02.634
execute circuit 2960000/7000037 4:29:09.878
execute circuit 2970000/7000037 4:29:52.728
execute circuit 2980000/7000037 4:30:47.244
execute circuit 2990000/7000037 4:31:27.264
execute circuit 3000000/7000037 4:32:05.225
execute circuit 3010000/7000037 4:32:47.696
execute circuit 3020000/7000037 4:33:26.848
execute circuit 3030000/7000037 4:33:57.684
execute circuit 3040000/7000037 4:34:39.183
execute circuit 3050000/7000037 4:35:23.040
execute circuit 3060000/7000037 4:35:56.532
execute circuit 3070000/7000037 4:36:31.650
execute circuit 3080000/7000037 4:37:12.097
execute circuit 3090000/7000037 4:37:54.575
execute circuit 3100000/7000037 4:38:37.160
execute circuit 3110000/7000037 4:39:16.244
execute circuit 3120000/7000037 4:39:58.322
execute circuit 3130000/7000037 4:40:47.129
execute circuit 3140000/7000037 4:41:30.653
execute circuit 3150000/7000037 4:42:14.382
execute circuit 3160000/7000037 4:42:51.368
execute circuit 3170000/7000037 4:43:23.721
execute circuit 3180000/7000037 4:44:08.315
execute circuit 3190000/7000037 4:44:48.078
execute circuit 3200000/7000037 4:45:24.068
execute circuit 3210000/7000037 4:46:01.611
execute circuit 3220000/7000037 4:46:43.308
execute circuit 3230000/7000037 4:47:26.625
execute circuit 3240000/7000037 4:48:03.924
execute circuit 3250000/7000037 4:48:59.212
execute circuit 3260000/7000037 4:49:42.878
execute circuit 3270000/7000037 4:50:52.146
execute circuit 3280000/7000037 4:51:51.067
execute circuit 3290000/7000037 4:52:45.057
execute circuit 3300000/7000037 4:53:39.456
execute circuit 3310000/7000037 4:54:34.310
execute circuit 3320000/7000037 4:55:25.163
execute circuit 3330000/7000037 4:56:16.366
execute circuit 3340000/7000037 4:57:12.300
execute circuit 3350000/7000037 4:58:21.217
execute circuit 3360000/7000037 4:59:04.314
execute circuit 3370000/7000037 4:59:58.804
execute circuit 3380000/7000037 5:00:37.145
execute circuit 3390000/7000037 5:01:17.158
execute circuit 3400000/7000037 5:01:58.664
execute circuit 3410000/7000037 5:02:36.316
execute circuit 3420000/7000037 5:03:09.325
execute circuit 3430000/7000037 5:03:48.191
execute circuit 3440000/7000037 5:04:33.646
execute circuit 3450000/7000037 5:05:06.293
execute circuit 3460000/7000037 5:05:42.185
execute circuit 3470000/7000037 5:06:25.372
execute circuit 3480000/7000037 5:07:06.468
execute circuit 3490000/7000037 5:07:46.495
execute circuit 3500000/7000037 5:08:28.532
execute circuit 3510000/7000037 5:09:10.152
execute circuit 3520000/7000037 5:09:49.914
execute circuit 3530000/7000037 5:10:31.038
execute circuit 3540000/7000037 5:11:11.732
execute circuit 3550000/7000037 5:11:46.179
execute circuit 3560000/7000037 5:12:18.116
execute circuit 3570000/7000037 5:13:02.983
execute circuit 3580000/7000037 5:13:40.675
execute circuit 3590000/7000037 5:14:12.647
execute circuit 3600000/7000037 5:14:49.594
execute circuit 3610000/7000037 5:15:29.978
execute circuit 3620000/7000037 5:16:08.632
execute circuit 3630000/7000037 5:16:45.813
execute circuit 3640000/7000037 5:17:38.998
execute circuit 3650000/7000037 5:18:21.021
execute circuit 3660000/7000037 5:19:27.841
execute circuit 3670000/7000037 5:20:21.766
execute circuit 3680000/7000037 5:21:10.915
execute circuit 3690000/7000037 5:21:58.394
execute circuit 3700000/7000037 5:22:49.765
execute circuit 3710000/7000037 5:23:41.170
execute circuit 3720000/7000037 5:24:32.244
execute circuit 3730000/7000037 5:25:28.410
execute circuit 3740000/7000037 5:26:33.471
execute circuit 3750000/7000037 5:27:14.778
execute circuit 3760000/7000037 5:28:07.315
execute circuit 3770000/7000037 5:28:42.234
execute circuit 3780000/7000037 5:29:23.385
execute circuit 3790000/7000037 5:30:03.236
execute circuit 3800000/7000037 5:30:39.060
execute circuit 3810000/7000037 5:31:13.022
execute circuit 3820000/7000037 5:31:50.715
execute circuit 3830000/7000037 5:32:33.497
execute circuit 3840000/7000037 5:33:04.551
execute circuit 3850000/7000037 5:33:40.225
execute circuit 3860000/7000037 5:34:22.503
execute circuit 3870000/7000037 5:35:02.500
execute circuit 3880000/7000037 5:35:43.452
execute circuit 3890000/7000037 5:36:25.251
execute circuit 3900000/7000037 5:37:04.380
execute circuit 3910000/7000037 5:37:44.213
execute circuit 3920000/7000037 5:38:24.586
execute circuit 3930000/7000037 5:39:03.853
execute circuit 3940000/7000037 5:39:38.256
execute circuit 3950000/7000037 5:40:11.434
execute circuit 3960000/7000037 5:40:54.527
execute circuit 3970000/7000037 5:41:35.821
execute circuit 3980000/7000037 5:42:05.857
execute circuit 3990000/7000037 5:42:44.811
execute circuit 4000000/7000037 5:43:26.306
execute circuit 4010000/7000037 5:44:03.079
execute circuit 4020000/7000037 5:44:42.623
execute circuit 4030000/7000037 5:45:36.412
execute circuit 4040000/7000037 5:46:18.739
execute circuit 4050000/7000037 5:47:24.420
execute circuit 4060000/7000037 5:48:19.077
execute circuit 4070000/7000037 5:49:12.397
execute circuit 4080000/7000037 5:50:03.335
execute circuit 4090000/7000037 5:50:53.142
execute circuit 4100000/7000037 5:51:42.144
execute circuit 4110000/7000037 5:52:32.580
execute circuit 4120000/7000037 5:53:30.120
execute circuit 4130000/7000037 5:54:31.171
execute circuit 4140000/7000037 5:55:16.057
execute circuit 4150000/7000037 5:56:07.134
execute circuit 4160000/7000037 5:56:40.920
execute circuit 4170000/7000037 5:57:23.279
execute circuit 4180000/7000037 5:58:03.878
execute circuit 4190000/7000037 5:58:38.784
execute circuit 4200000/7000037 5:59:15.347
execute circuit 4210000/7000037 5:59:52.404
execute circuit 4220000/7000037 6:00:33.867
execute circuit 4230000/7000037 6:01:03.565
execute circuit 4240000/7000037 6:01:40.300
execute circuit 4250000/7000037 6:02:24.521
execute circuit 4260000/7000037 6:03:03.808
execute circuit 4270000/7000037 6:03:42.270
execute circuit 4280000/7000037 6:04:23.171
execute circuit 4290000/7000037 6:05:02.645
execute circuit 4300000/7000037 6:05:42.835
execute circuit 4310000/7000037 6:06:24.159
execute circuit 4320000/7000037 6:07:01.557
execute circuit 4330000/7000037 6:07:35.633
execute circuit 4340000/7000037 6:08:10.446
execute circuit 4350000/7000037 6:08:52.260
execute circuit 4360000/7000037 6:09:32.695
execute circuit 4370000/7000037 6:10:03.937
execute circuit 4380000/7000037 6:10:44.146
execute circuit 4390000/7000037 6:11:26.297
execute circuit 4400000/7000037 6:12:01.053
execute circuit 4410000/7000037 6:12:42.847
execute circuit 4420000/7000037 6:13:35.646
execute circuit 4430000/7000037 6:14:20.514
execute circuit 4440000/7000037 6:15:24.242
execute circuit 4450000/7000037 6:16:18.039
execute circuit 4460000/7000037 6:17:06.649
execute circuit 4470000/7000037 6:17:53.948
execute circuit 4480000/7000037 6:18:41.932
execute circuit 4490000/7000037 6:19:31.934
execute circuit 4500000/7000037 6:20:20.996
execute circuit 4510000/7000037 6:21:16.432
execute circuit 4520000/7000037 6:22:10.076
execute circuit 4530000/7000037 6:22:55.385
execute circuit 4540000/7000037 6:23:41.684
execute circuit 4550000/7000037 6:24:12.544
execute circuit 4560000/7000037 6:24:54.067
execute circuit 4570000/7000037 6:25:32.925
execute circuit 4580000/7000037 6:26:05.373
execute circuit 4590000/7000037 6:26:40.875
execute circuit 4600000/7000037 6:27:17.051
execute circuit 4610000/7000037 6:27:54.810
execute circuit 4620000/7000037 6:28:25.489
execute circuit 4630000/7000037 6:28:56.802
execute circuit 4640000/7000037 6:29:41.256
execute circuit 4650000/7000037 6:30:18.356
execute circuit 4660000/7000037 6:30:55.132
execute circuit 4670000/7000037 6:31:32.859
execute circuit 4680000/7000037 6:32:08.897
execute circuit 4690000/7000037 6:32:45.128
execute circuit 4700000/7000037 6:33:25.422
execute circuit 4710000/7000037 6:33:59.487
execute circuit 4720000/7000037 6:34:31.439
execute circuit 4730000/7000037 6:35:05.701
execute circuit 4740000/7000037 6:35:44.861
execute circuit 4750000/7000037 6:36:21.814
execute circuit 4760000/7000037 6:36:52.130
execute circuit 4770000/7000037 6:37:31.920
execute circuit 4780000/7000037 6:38:12.537
execute circuit 4790000/7000037 6:38:43.754
execute circuit 4800000/7000037 6:39:25.359
execute circuit 4810000/7000037 6:40:14.050
execute circuit 4820000/7000037 6:40:59.698
execute circuit 4830000/7000037 6:42:01.279
execute circuit 4840000/7000037 6:42:53.243
execute circuit 4850000/7000037 6:43:48.605
execute circuit 4860000/7000037 6:44:38.202
execute circuit 4870000/7000037 6:45:28.107
execute circuit 4880000/7000037 6:46:16.868
execute circuit 4890000/7000037 6:47:08.668
execute circuit 4900000/7000037 6:48:08.723
execute circuit 4910000/7000037 6:49:02.212
execute circuit 4920000/7000037 6:49:51.126
execute circuit 4930000/7000037 6:50:38.618
execute circuit 4940000/7000037 6:51:08.647
execute circuit 4950000/7000037 6:51:53.840
execute circuit 4960000/7000037 6:52:35.293
execute circuit 4970000/7000037 6:53:08.168
execute circuit 4980000/7000037 6:53:46.074
execute circuit 4990000/7000037 6:54:25.408
execute circuit 5000000/7000037 6:55:03.640
execute circuit 5010000/7000037 6:55:36.855
execute circuit 5020000/7000037 6:56:10.365
execute circuit 5030000/7000037 6:56:55.660
execute circuit 5040000/7000037 6:57:33.654
execute circuit 5050000/7000037 6:58:11.358
execute circuit 5060000/7000037 6:58:50.893
execute circuit 5070000/7000037 6:59:28.562
execute circuit 5080000/7000037 7:00:06.887
execute circuit 5090000/7000037 7:00:51.248
execute circuit 5100000/7000037 7:01:25.477
execute circuit 5110000/7000037 7:01:58.757
execute circuit 5120000/7000037 7:02:36.193
execute circuit 5130000/7000037 7:03:15.797
execute circuit 5140000/7000037 7:03:53.446
execute circuit 5150000/7000037 7:04:25.776
execute circuit 5160000/7000037 7:05:07.130
execute circuit 5170000/7000037 7:05:52.350
execute circuit 5180000/7000037 7:06:23.193
execute circuit 5190000/7000037 7:07:09.338
execute circuit 5200000/7000037 7:07:59.127
execute circuit 5210000/7000037 7:08:50.597
execute circuit 5220000/7000037 7:09:51.692
execute circuit 5230000/7000037 7:10:44.259
execute circuit 5240000/7000037 7:11:32.778
execute circuit 5250000/7000037 7:12:23.179
execute circuit 5260000/7000037 7:13:12.269
execute circuit 5270000/7000037 7:14:04.314
execute circuit 5280000/7000037 7:14:53.636
execute circuit 5290000/7000037 7:15:51.842
execute circuit 5300000/7000037 7:16:41.010
execute circuit 5310000/7000037 7:17:29.062
execute circuit 5320000/7000037 7:18:12.539
execute circuit 5330000/7000037 7:18:42.557
execute circuit 5340000/7000037 7:19:24.619
execute circuit 5350000/7000037 7:20:05.166
execute circuit 5360000/7000037 7:20:36.313
execute circuit 5370000/7000037 7:21:13.631
execute circuit 5380000/7000037 7:21:53.758
execute circuit 5390000/7000037 7:22:30.356
execute circuit 5400000/7000037 7:23:03.470
execute circuit 5410000/7000037 7:23:38.451
execute circuit 5420000/7000037 7:24:21.987
execute circuit 5430000/7000037 7:25:00.122
execute circuit 5440000/7000037 7:25:37.999
execute circuit 5450000/7000037 7:26:17.305
execute circuit 5460000/7000037 7:26:57.021
execute circuit 5470000/7000037 7:27:36.288
execute circuit 5480000/7000037 7:28:22.163
execute circuit 5490000/7000037 7:28:54.896
execute circuit 5500000/7000037 7:29:27.737
execute circuit 5510000/7000037 7:30:06.420
execute circuit 5520000/7000037 7:30:45.529
execute circuit 5530000/7000037 7:31:22.836
execute circuit 5540000/7000037 7:31:55.982
execute circuit 5550000/7000037 7:32:36.628
execute circuit 5560000/7000037 7:33:21.450
execute circuit 5570000/7000037 7:33:52.244
execute circuit 5580000/7000037 7:34:40.424
execute circuit 5590000/7000037 7:35:27.887
execute circuit 5600000/7000037 7:36:22.832
execute circuit 5610000/7000037 7:37:22.176
execute circuit 5620000/7000037 7:38:14.072
execute circuit 5630000/7000037 7:39:07.905
execute circuit 5640000/7000037 7:39:59.137
execute circuit 5650000/7000037 7:40:49.012
execute circuit 5660000/7000037 7:41:39.039
execute circuit 5670000/7000037 7:42:32.273
execute circuit 5680000/7000037 7:43:34.833
execute circuit 5690000/7000037 7:44:21.636
execute circuit 5700000/7000037 7:45:13.297
execute circuit 5710000/7000037 7:45:56.406
execute circuit 5720000/7000037 7:46:29.930
execute circuit 5730000/7000037 7:47:12.209
execute circuit 5740000/7000037 7:47:53.018
execute circuit 5750000/7000037 7:48:24.784
execute circuit 5760000/7000037 7:49:03.296
execute circuit 5770000/7000037 7:49:44.782
execute circuit 5780000/7000037 7:50:19.935
execute circuit 5790000/7000037 7:50:53.163
execute circuit 5800000/7000037 7:51:29.494
execute circuit 5810000/7000037 7:52:11.633
execute circuit 5820000/7000037 7:52:51.780
execute circuit 5830000/7000037 7:53:31.745
execute circuit 5840000/7000037 7:54:11.804
execute circuit 5850000/7000037 7:54:50.931
execute circuit 5860000/7000037 7:55:29.441
execute circuit 5870000/7000037 7:56:15.072
execute circuit 5880000/7000037 7:56:49.075
execute circuit 5890000/7000037 7:57:19.829
execute circuit 5900000/7000037 7:57:59.873
execute circuit 5910000/7000037 7:58:37.604
execute circuit 5920000/7000037 7:59:14.259
execute circuit 5930000/7000037 7:59:48.539
execute circuit 5940000/7000037 8:00:29.115
execute circuit 5950000/7000037 8:01:11.448
execute circuit 5960000/7000037 8:01:44.317
execute circuit 5970000/7000037 8:02:33.940
execute circuit 5980000/7000037 8:03:20.128
execute circuit 5990000/7000037 8:04:18.041
execute circuit 6000000/7000037 8:05:16.220
execute circuit 6010000/7000037 8:06:06.955
execute circuit 6020000/7000037 8:06:55.800
execute circuit 6030000/7000037 8:07:45.258
execute circuit 6040000/7000037 8:08:36.517
execute circuit 6050000/7000037 8:09:30.560
execute circuit 6060000/7000037 8:10:24.116
execute circuit 6070000/7000037 8:11:28.142
execute circuit 6080000/7000037 8:12:11.750
execute circuit 6090000/7000037 8:13:04.591
execute circuit 6100000/7000037 8:13:45.430
execute circuit 6110000/7000037 8:14:20.707
execute circuit 6120000/7000037 8:15:02.441
execute circuit 6130000/7000037 8:15:41.614
execute circuit 6140000/7000037 8:16:11.789
execute circuit 6150000/7000037 8:16:52.263
execute circuit 6160000/7000037 8:17:34.535
execute circuit 6170000/7000037 8:18:08.223
execute circuit 6180000/7000037 8:18:42.299
execute circuit 6190000/7000037 8:19:20.016
execute circuit 6200000/7000037 8:20:01.305
execute circuit 6210000/7000037 8:20:40.244
execute circuit 6220000/7000037 8:21:20.387
execute circuit 6230000/7000037 8:21:59.469
execute circuit 6240000/7000037 8:22:37.348
execute circuit 6250000/7000037 8:23:14.658
execute circuit 6260000/7000037 8:23:58.022
execute circuit 6270000/7000037 8:24:33.574
execute circuit 6280000/7000037 8:25:03.806
execute circuit 6290000/7000037 8:25:45.245
execute circuit 6300000/7000037 8:26:22.343
execute circuit 6310000/7000037 8:26:57.770
execute circuit 6320000/7000037 8:27:32.876
execute circuit 6330000/7000037 8:28:13.488
