bit_length=5 prime=23 G=(7, 4) n=11 Q=(9, 6)
-NG: <0001 0001 01001 00000>=1, (9, 0)=False
*OK: <1011 1101 00001 00000>=1, (1, 0)=False d=6
-NG: <0001 1101 00001 10010>=1, (1, 18)=False
*OK: <0010 0010 01000 00001>=1, (8, 1)=False d=6
-NG: <0001 0010 01001 00010>=1, (9, 2)=False
-NG: <1001 1000 00001 00000>=1, (1, 0)=False
*OK: <0110 0010 10000 10000>=1, (16, 16)=False d=6
*OK: <0001 1000 00000 00000>=1, (0, 0)=True d=6
-NG: <0011 1000 01000 00100>=1, (8, 4)=False
-NG: <1001 0010 00100 10011>=1, (4, 19)=False
*OK: <0001 1000 00001 00010>=1, (1, 2)=False d=6
-NG: <0010 1011 00100 00100>=1, (4, 4)=False
-NG: <0011 1110 00000 01111>=1, (0, 15)=False
-NG: <0100 0111 10100 10010>=1, (20, 18)=False
-NG: <0101 1000 01011 00000>=1, (11, 0)=False
*OK: <0011 1001 00000 11000>=1, (0, 24)=False d=6
-NG: <0100 1111 00100 01001>=1, (4, 9)=False
-NG: <0000 0101 00000 10001>=1, (0, 17)=False
-NG: <0111 0001 00000 01000>=1, (0, 8)=False
-NG: <0001 0011 10001 00100>=1, (17, 4)=False
-NG: <0101 1101 00000 01111>=1, (0, 15)=False
-NG: <0000 0010 01000 00000>=1, (8, 0)=False
-NG: <0101 1110 00100 00000>=1, (4, 0)=False
-NG: <0010 1110 00000 01100>=1, (0, 12)=False
-NG: <0011 0110 10100 10010>=1, (20, 18)=False
-NG: <0101 1100 00000 10010>=1, (0, 18)=False
-NG: <0000 0000 10001 00011>=1, (17, 3)=False
-NG: <1000 1010 00001 00100>=1, (1, 4)=False
-NG: <0000 0001 10000 00010>=1, (16, 2)=False
-NG: <0000 1100 11010 00011>=1, (26, 3)=False
-NG: <0011 1111 00001 00110>=1, (1, 6)=True
-NG: <0001 0101 00000 01010>=1, (0, 10)=False
-NG: <0001 0110 01000 00000>=1, (8, 0)=False
-NG: <0010 1111 01000 11100>=1, (8, 28)=True
-NG: <0001 0111 10000 00101>=1, (16, 5)=False
-NG: <0010 1111 10100 00011>=1, (20, 3)=False
-NG: <0000 1001 00001 00001>=1, (1, 1)=False
-NG: <0011 0100 00000 00100>=1, (0, 4)=False
-NG: <0010 0000 00000 01101>=1, (0, 13)=False
-NG: <0011 0000 10000 00100>=1, (16, 4)=False
-NG: <1000 0010 10000 01001>=1, (16, 9)=False
-NG: <0010 0100 11000 00001>=1, (24, 1)=False
-NG: <0000 0100 01000 00101>=1, (8, 5)=True
*OK: <0001 1001 10000 00000>=1, (16, 0)=False d=6
-NG: <1000 0111 01100 10000>=1, (12, 16)=True
-NG: <0100 1100 10000 00001>=1, (16, 1)=False
-NG: <1001 0000 10001 10000>=1, (17, 16)=False
*OK: <0111 1100 00111 00101>=1, (7, 5)=False d=6
*OK: <0100 1001 11000 11001>=1, (24, 25)=False d=6
-NG: <0100 1101 01001 00010>=1, (9, 2)=False
-NG: <1011 0001 00001 10000>=1, (1, 16)=False
-NG: <0100 0011 10010 00110>=1, (18, 6)=False
-NG: <0000 1101 10001 00001>=1, (17, 1)=False
*OK: <0101 1001 00011 10001>=1, (3, 17)=False d=6
*OK: <0011 0001 11011 01001>=1, (27, 9)=False d=6
-NG: <0100 1101 00000 00010>=1, (0, 2)=False
*OK: <0111 1100 01001 01000>=1, (9, 8)=False d=6
-NG: <1001 1010 10101 10001>=1, (21, 17)=False
-NG: <0100 0110 00000 00000>=1, (0, 0)=True
*OK: <0010 1010 11011 00010>=1, (27, 2)=False d=6
*OK: <0010 0001 10000 11000>=1, (16, 24)=False d=6
*OK: <0111 0100 01000 00110>=1, (8, 6)=False d=6
-NG: <0000 1010 10000 00001>=1, (16, 1)=False
-NG: <0100 1101 00001 10000>=1, (1, 16)=False
Success: d=6 count=24
